panel,example_index,treated_int,hours_diff,generated_mae,generated_ssim,generated_dark_field_dice,generated_lower_saturation_excess,generated_change_ratio,swap_l1
best_case_panel,61,0,28.4883,0.0493,0.7969,0.7864,0.0,0.708,0.0124
best_case_panel,11,0,19.2015,0.0518,0.6706,0.7872,0.0,0.7507,0.0138
best_case_panel,10,1,29.2829,0.0673,0.6681,0.7896,0.0,0.7583,0.0147
best_case_panel,96,0,22.6667,0.0767,0.7716,0.7553,0.0,0.5363,0.0114
best_case_panel,113,0,21.5337,0.0791,0.6676,0.7641,0.0,0.5545,0.0139
best_case_panel,48,0,24.1913,0.0796,0.6972,0.7782,0.0,0.5122,0.0147
random_case_panel,0,0,23.681,0.1455,0.5456,0.7491,0.0,0.3415,0.0158
random_case_panel,1,0,27.9109,0.1533,0.4406,0.7383,0.0,0.3658,0.0167
random_case_panel,2,0,22.223,0.1505,0.555,0.7524,0.0,0.3854,0.0152
random_case_panel,3,0,29.1516,0.1347,0.5375,0.7485,0.0,0.5184,0.0167
random_case_panel,4,0,22.9388,0.1562,0.4535,0.7099,0.0331,0.4639,0.0179
random_case_panel,5,0,25.3817,0.0985,0.5328,0.7641,0.0,0.5609,0.015
worst_case_panel,104,0,18.7358,0.4751,0.3248,0.4066,0.1192,0.0951,0.0123
worst_case_panel,59,0,24.9824,0.2938,0.3128,0.6479,0.0786,0.5528,0.014
worst_case_panel,53,0,29.4435,0.2923,0.3406,0.6665,0.1373,0.1997,0.0152
worst_case_panel,135,0,21.7738,0.2898,0.3032,0.6135,0.0331,0.2603,0.0188
worst_case_panel,71,0,24.0836,0.276,0.3395,0.6014,0.0,0.1979,0.0166
worst_case_panel,14,0,26.5557,0.2681,0.2863,0.657,0.0478,0.2124,0.0153
